,,,test_RSq,test_RSq,test_RSq,test_SEP,test_SEP,test_SEP,test_Err10,test_Err10,test_Err10
,,,mean,std,max,mean,std,max,mean,std,max
Model,Prototypes,Dataset,,,,,,,,,
RegNG,10,BreastCancer,0.8933,0.1207,0.9705,0.0447,0.0163,0.0707,0.9236,0.0571,1.0
RegNG,10,CalHousing,0.3608,0.2833,0.6248,0.009,0.0032,0.0118,0.2528,0.0105,0.2653
RegNG,10,Diabetes,0.4943,0.0604,0.5705,0.1062,0.0137,0.1237,0.1788,0.0132,0.1932
RegNG,10,WineQuality,0.684,0.0341,0.7138,0.0378,0.0032,0.0412,0.9362,0.0131,0.95
RegNG,15,BreastCancer,0.9517,0.0294,0.9835,0.0314,0.0103,0.0416,0.9746,0.0181,1.0
RegNG,15,CalHousing,0.3957,0.2327,0.6296,0.0107,0.0027,0.0126,0.2553,0.0114,0.2701
RegNG,15,Diabetes,0.502,0.0629,0.5647,0.1027,0.0122,0.123,0.215,0.0269,0.236
RegNG,15,WineQuality,0.6888,0.0382,0.7344,0.0381,0.003,0.0424,0.93,0.0085,0.9438
RegSeNG,5,BreastCancer,0.9019,0.056,0.9657,0.0497,0.0186,0.0794,0.9233,0.0656,0.975
RegSeNG,5,CalHousing,0.3904,0.3038,0.6251,0.0095,0.0038,0.0125,0.254,0.0068,0.2614
RegSeNG,5,Diabetes,0.5006,0.06,0.567,0.1076,0.0118,0.1283,0.1697,0.0359,0.2022
RegSeNG,5,WineQuality,0.6704,0.0446,0.7094,0.0388,0.0013,0.0405,0.9256,0.0159,0.9469
RegSeNG,10,BreastCancer,0.9439,0.0156,0.9609,0.0394,0.0055,0.0442,0.9494,0.0402,1.0
RegSeNG,10,CalHousing,0.3557,0.281,0.6223,0.0092,0.0036,0.0123,0.2608,0.0143,0.2762
RegSeNG,10,Diabetes,0.5,0.0605,0.5687,0.107,0.0064,0.1126,0.1857,0.0414,0.2273
RegSeNG,10,WineQuality,0.6733,0.0294,0.6949,0.0401,0.0023,0.043,0.9306,0.0123,0.9438
RegSeNG,15,BreastCancer,0.871,0.1667,0.9585,0.0488,0.0318,0.1049,0.9494,0.0175,0.9744
RegSeNG,15,CalHousing,0.3688,0.2605,0.6269,0.0099,0.0031,0.0132,0.2435,0.0085,0.2519
RegSeNG,15,Diabetes,0.5076,0.0597,0.5697,0.1091,0.0096,0.1233,0.1879,0.034,0.2273
RegSeNG,15,WineQuality,0.6769,0.0425,0.7212,0.0397,0.0035,0.0445,0.9287,0.0154,0.9438
