,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
306,RBFNetwork,1,10,CalHousing,0.6273255567919688,0.2720445692539215,0.01163325576747689
307,RLVQ,1,10,CalHousing,0.5645995098727427,0.14777131378650665,0.904954480876115
308,RegNG,1,10,CalHousing,0.08155512103768424,0.26526162028312683,0.006398558187018879
309,RegSeNG,1,10,CalHousing,0.07974739958712984,0.2693798542022705,0.006368871825022123
310,NGTSP,1,10,CalHousing,0.603699181933897,0.23207364976406097,0.012031536033703064
311,RNGTSP,1,10,CalHousing,0.13702683809603652,0.2705910801887512,0.007868590746949755
312,RBFNetwork,2,10,CalHousing,0.6411462468687247,0.25460270047187805,0.011877752426487856
313,RLVQ,2,10,CalHousing,0.47958700900986145,0.16472868621349335,0.8272566284949819
314,RegNG,2,10,CalHousing,0.6141748368684579,0.23788759112358093,0.011798648786228352
315,RegSeNG,2,10,CalHousing,0.6171928562199778,0.2667151093482971,0.012334168631401477
316,NGTSP,2,10,CalHousing,0.5536583014807377,0.2202034890651703,0.014378854230471342
317,RNGTSP,2,10,CalHousing,0.6104933389371984,0.25750967860221863,0.011900675184158679
318,RBFNetwork,3,10,CalHousing,0.6473616943297424,0.26598837971687317,0.011979102846649584
319,RLVQ,3,10,CalHousing,0.48958806135986416,0.1484980583190918,1.0213492025590394
320,RegNG,3,10,CalHousing,0.04090491242478453,0.25872093439102173,0.0047054707855267225
321,RegSeNG,3,10,CalHousing,0.04464912349275964,0.24200581014156342,0.004399634853915516
322,NGTSP,3,10,CalHousing,0.528964953792658,0.22093023359775543,0.0161522479987766
323,RNGTSP,3,10,CalHousing,0.0877202905428062,0.26501938700675964,0.006648180904457671
324,RBFNetwork,4,10,CalHousing,0.6693665136482686,0.2732558250427246,0.012242088251117248
325,RLVQ,4,10,CalHousing,0.5294885094206777,0.15455426275730133,0.750062544858532
326,RegNG,4,10,CalHousing,0.4427765999201864,0.25460270047187805,0.0107939975822249
327,RegSeNG,4,10,CalHousing,0.4145681945340837,0.2761628031730652,0.01171685316624889
328,NGTSP,4,10,CalHousing,0.5958063163780432,0.24152131378650665,0.012626308236031052
329,RNGTSP,4,10,CalHousing,0.519918272102275,0.26114341616630554,0.010821293458197483
330,RBFNetwork,0,15,CalHousing,0.6446949485044061,0.26211240887641907,0.01131741647902346
331,RLVQ,0,15,CalHousing,0.5111722638704276,0.14486433565616608,0.8825150371004148
332,RegNG,0,15,CalHousing,0.6295659265133111,0.25581395626068115,0.01256006789425209
333,RegSeNG,0,15,CalHousing,0.6268786028765232,0.24975775182247162,0.01130729446020245
334,NGTSP,0,15,CalHousing,0.6032335304819898,0.24370154738426208,0.012509149072539534
335,RNGTSP,0,15,CalHousing,0.652334113598013,0.2516957223415375,0.01086966966756594
336,RBFNetwork,1,15,CalHousing,0.6220853592404687,0.2696220874786377,0.011557846565458496
337,RLVQ,1,15,CalHousing,0.5466820117727067,0.1470445692539215,1.0218260112500575
338,RegNG,1,15,CalHousing,0.09435940807508096,0.25339147448539734,0.0062309578781253455
339,RegSeNG,1,15,CalHousing,0.10728316899235293,0.24515503644943237,0.006904427155882202
340,NGTSP,1,15,CalHousing,0.6215183812904737,0.23498061299324036,0.012713688710863941
341,RNGTSP,1,15,CalHousing,0.16421424739262924,0.2671996057033539,0.00803690234940885
342,RBFNetwork,2,15,CalHousing,0.6500998140806332,0.25,0.011223853399413493
343,RLVQ,2,15,CalHousing,0.5298061171503571,0.13493217527866364,1.0561188728201674
344,RegNG,2,15,CalHousing,0.6117783172963913,0.25872093439102173,0.01254621816941961
345,RegSeNG,2,15,CalHousing,0.6060786106126161,0.25193798542022705,0.013172661783537955
346,NGTSP,2,15,CalHousing,0.5993563232879882,0.23812983930110931,0.013221769418282295
347,RNGTSP,2,15,CalHousing,0.6472021179297035,0.25314921140670776,0.011355843303068124
348,RBFNetwork,3,15,CalHousing,0.646948415408385,0.2722868323326111,0.012125837359173126
349,RLVQ,3,15,CalHousing,0.47694275368613137,0.15043604373931885,0.8371613812373204
350,RegNG,3,15,CalHousing,0.23939644610338087,0.2383720874786377,0.009919852128341004
351,RegSeNG,3,15,CalHousing,0.08953769725755904,0.2395833283662796,0.006401285092545398
352,NGTSP,3,15,CalHousing,0.5930833502297139,0.23473836481571198,0.01276296118002364
353,RNGTSP,3,15,CalHousing,0.15079448223454878,0.23812983930110931,0.008305593032696932
354,RBFNetwork,4,15,CalHousing,0.6677277159187396,0.260174423456192,0.01126624031407229
355,RLVQ,4,15,CalHousing,0.5524397591125465,0.14559108018875122,0.8724302180306699
356,RegNG,4,15,CalHousing,0.4036138656210816,0.27010658383369446,0.01224005503749811
357,RegSeNG,4,15,CalHousing,0.4141675675033463,0.23086240887641907,0.011832653820608746
358,NGTSP,4,15,CalHousing,0.6364688119076661,0.2487887591123581,0.012228757133491532
359,RNGTSP,4,15,CalHousing,0.5384506554775468,0.2705910801887512,0.01184722867875946
