,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
47,RNGTSP,2,10,WineQuality,0.7461005911391758,0.9375,0.0340305816326513
48,RBFNetwork,3,10,WineQuality,0.6700471698170823,0.9375,0.0369439632340578
49,RLVQ,3,10,WineQuality,0.4272587865885125,0.737500011920929,4.280392503561025
50,RegNG,3,10,WineQuality,0.630420572796529,0.934374988079071,0.04030754902861062
51,RegSeNG,3,10,WineQuality,0.6241824984353829,0.934374988079071,0.04303600551787691
52,NGTSP,3,10,WineQuality,0.477103642789719,0.856249988079071,0.06328805488703032
53,RNGTSP,3,10,WineQuality,0.6557482163112369,0.921875,0.03710154330144075
54,RBFNetwork,4,10,WineQuality,0.7547379289560023,0.9373040795326233,0.032909171433326743
55,RLVQ,4,10,WineQuality,0.3782170279388733,0.7115987539291382,3.7998663857273587
56,RegNG,4,10,WineQuality,0.6703776887048565,0.9153605103492737,0.03751367644407871
57,RegSeNG,4,10,WineQuality,0.690325295746633,0.9122257232666016,0.04162683807979402
58,NGTSP,4,10,WineQuality,0.485825727176298,0.7931034564971924,0.07626183211064269
59,RNGTSP,4,10,WineQuality,0.7344993558495028,0.9341692924499512,0.035031307378811265
60,RBFNetwork,0,15,WineQuality,0.8004782381501,0.96875,0.0286917126869168
61,RLVQ,0,15,WineQuality,0.5621250512453931,0.703125,3.7398801611936596
62,RegNG,0,15,WineQuality,0.734407881995607,0.9437500238418579,0.034442776279229155
63,RegSeNG,0,15,WineQuality,0.7211952669565417,0.9437500238418579,0.03671896449730448
64,NGTSP,0,15,WineQuality,0.5906813623701771,0.846875011920929,0.05260345053504195
65,RNGTSP,0,15,WineQuality,0.7602472641785596,0.9437500238418579,0.03214303272421155
66,RBFNetwork,1,15,WineQuality,0.7537592706900239,0.956250011920929,0.03422873346279604
67,RLVQ,1,15,WineQuality,0.3847595906022728,0.7250000238418579,5.386889298913678
68,RegNG,1,15,WineQuality,0.7048482879745396,0.9281250238418579,0.036155721492992426
69,RegSeNG,1,15,WineQuality,0.6842835658616868,0.940625011920929,0.03589750196574979
70,NGTSP,1,15,WineQuality,0.5500587036906994,0.875,0.04592276438730779
71,RNGTSP,1,15,WineQuality,0.6926118958601415,0.9375,0.03331869915103755
72,RBFNetwork,2,15,WineQuality,0.7369531672615373,0.9437500238418579,0.037364665289577687
73,RLVQ,2,15,WineQuality,0.43070344343788064,0.765625,2.7043177368244806
74,RegNG,2,15,WineQuality,0.6927446727382665,0.9312499761581421,0.03925745908487579
75,RegSeNG,2,15,WineQuality,0.6970716636277682,0.934374988079071,0.03987826999161582
76,NGTSP,2,15,WineQuality,0.5158759935676803,0.871874988079071,0.06546238997560865
77,RNGTSP,2,15,WineQuality,0.6814749181536748,0.9125000238418579,0.0358590519424779
78,RBFNetwork,3,15,WineQuality,0.6575282939591909,0.940625011920929,0.03558758358828405
79,RLVQ,3,15,WineQuality,0.46019037097622995,0.762499988079071,2.606214035322043
80,RegNG,3,15,WineQuality,0.6300569905686628,0.921875,0.042381619316526585
81,RegSeNG,3,15,WineQuality,0.6077147397352226,0.909375011920929,0.044452488778460586
82,NGTSP,3,15,WineQuality,0.5190172781694582,0.8656250238418579,0.05329952997266733
83,RNGTSP,3,15,WineQuality,0.6594084172614345,0.918749988079071,0.03752338696363543
84,RBFNetwork,4,15,WineQuality,0.7574519511359694,0.9498432874679565,0.030007844902469098
85,RLVQ,4,15,WineQuality,0.36402658823350603,0.7272727489471436,4.032679362280119
86,RegNG,4,15,WineQuality,0.6820516869694697,0.92476487159729,0.038077965533883686
87,RegSeNG,4,15,WineQuality,0.6742201037717074,0.9153605103492737,0.04175944152423164
88,NGTSP,4,15,WineQuality,0.6123427626168582,0.8808777332305908,0.05236835467747446
89,RNGTSP,4,15,WineQuality,0.7398246367686485,0.9341692924499512,0.035100646359423615
90,RBFNetwork,0,5,BreastCancer,0.9490902586166456,0.949999988079071,0.037298005978853875
91,RLVQ,0,5,BreastCancer,0.9165803179255712,0.375,0.6256008303745964
92,RegNG,0,5,BreastCancer,0.9283439029629916,0.949999988079071,0.03881037799511223
93,RegSeNG,0,5,BreastCancer,0.9656950420227599,0.9750000238418579,0.02986012464621831
94,NGTSP,0,5,BreastCancer,0.8107101612328039,0.800000011920929,0.07527295751662957
95,RNGTSP,0,5,BreastCancer,0.9445110278260131,0.8999999761581421,0.034002619084785836
96,RBFNetwork,1,5,BreastCancer,0.9876817956794195,1.0,0.018246512023741283
97,RLVQ,1,5,BreastCancer,0.9124136936637587,0.44999998807907104,0.5940667340712289
98,RegNG,1,5,BreastCancer,0.9162190821852173,0.8999999761581421,0.04330881648497128
99,RegSeNG,1,5,BreastCancer,0.9264086317994771,0.9750000238418579,0.04158875778679253
100,NGTSP,1,5,BreastCancer,0.8441476303043622,0.8500000238418579,0.06504073571677854
101,RNGTSP,1,5,BreastCancer,0.8216488644454909,0.800000011920929,0.06701363417959948
102,RBFNetwork,2,5,BreastCancer,0.9606440285700071,0.9487179517745972,0.040070218723268713
103,RLVQ,2,5,BreastCancer,0.9046686283047649,0.28205129504203796,0.6571735137817005
104,RegNG,2,5,BreastCancer,0.9558160559139584,0.8974359035491943,0.03807155938052028
105,RegSeNG,2,5,BreastCancer,0.8162848657129351,0.8205128312110901,0.0794098298288625
106,NGTSP,2,5,BreastCancer,0.8712605341215641,0.7948718070983887,0.07500564301541278
107,RNGTSP,2,5,BreastCancer,0.7422451581109915,0.8717948794364929,0.08282565026287754
108,RBFNetwork,3,5,BreastCancer,0.9602779313492136,0.9743589758872986,0.0350588430415872
109,RLVQ,3,5,BreastCancer,0.867900674532198,0.41025641560554504,1.1118220954176241
110,RegNG,3,5,BreastCancer,0.9069625741915487,0.9230769276618958,0.050875519940760165
111,RegSeNG,3,5,BreastCancer,0.8837971168027928,0.8974359035491943,0.04451268569273615
112,NGTSP,3,5,BreastCancer,0.9037316085758101,0.8461538553237915,0.06846581218057707
113,RNGTSP,3,5,BreastCancer,0.8046543502827901,0.7948718070983887,0.07264999390134745
114,RBFNetwork,4,5,BreastCancer,0.9799995334138061,0.9743589758872986,0.025541113663090063
115,RLVQ,4,5,BreastCancer,0.9173438874045049,0.25641027092933655,0.6873347403717814
116,RegNG,4,5,BreastCancer,0.971913210345912,1.0,0.02672167312584269
117,RegSeNG,4,5,BreastCancer,0.917117366554788,0.9487179517745972,0.05306512988871401
118,NGTSP,4,5,BreastCancer,0.8928717622832019,0.8974359035491943,0.05543904379456819
119,RNGTSP,4,5,BreastCancer,0.7794346079228422,0.7179487347602844,0.07124016066799982
120,RBFNetwork,0,10,BreastCancer,0.9880726346616248,1.0,0.01890013158955727
121,RLVQ,0,10,BreastCancer,0.9248852161498778,0.4000000059604645,0.5680832882099263
122,RegNG,0,10,BreastCancer,0.970475796978626,1.0,0.030228272139056496
123,RegSeNG,0,10,BreastCancer,0.9266122364005389,0.949999988079071,0.04303614138507688
124,NGTSP,0,10,BreastCancer,0.8859474199952608,0.8999999761581421,0.05271789017178187
125,RNGTSP,0,10,BreastCancer,0.8414179245785137,0.800000011920929,0.062402114324146704
126,RBFNetwork,1,10,BreastCancer,0.9754940145033407,1.0,0.025845090294837763
127,RLVQ,1,10,BreastCancer,0.9019886971089267,0.42500001192092896,0.6073468255599742
128,RegNG,1,10,BreastCancer,0.9341450326572532,0.8999999761581421,0.03381787692249403
129,RegSeNG,1,10,BreastCancer,0.9386021867394175,0.925000011920929,0.04423650632121763
130,NGTSP,1,10,BreastCancer,0.7839320285120834,0.8500000238418579,0.07427186021548475
131,RNGTSP,1,10,BreastCancer,0.8207560175625158,0.875,0.06364763137197459
132,RBFNetwork,2,10,BreastCancer,0.9829648368732037,1.0,0.023888020241147598
133,RLVQ,2,10,BreastCancer,0.9148433952647415,0.28205129504203796,0.6922792139739765
134,RegNG,2,10,BreastCancer,0.6801093966677361,0.8461538553237915,0.07070484662341904
135,RegSeNG,2,10,BreastCancer,0.9597891920808527,0.9743589758872986,0.03277266434220198
136,NGTSP,2,10,BreastCancer,0.7747470458441035,0.7692307829856873,0.07253555765366525
137,RNGTSP,2,10,BreastCancer,0.87778898752881,0.8717948794364929,0.056824956469396996
138,RBFNetwork,3,10,BreastCancer,0.9384707889725076,0.9487179517745972,0.04319728148066539
139,RLVQ,3,10,BreastCancer,0.8415240383067123,0.3333333432674408,0.85789487670579
140,RegNG,3,10,BreastCancer,0.9227570390197636,0.9230769276618958,0.04965541000674338
141,RegSeNG,3,10,BreastCancer,0.9336833538617652,0.8974359035491943,0.04303174627106712
142,NGTSP,3,10,BreastCancer,0.8465232732724379,0.8205128312110901,0.05541658239509351
143,RNGTSP,3,10,BreastCancer,0.8552290710481467,0.8461538553237915,0.06704238878171849
144,RBFNetwork,4,10,BreastCancer,0.9793954825566655,1.0,0.023111710699181068
145,RLVQ,4,10,BreastCancer,0.9274242194454848,0.23076923191547394,0.5996347000156765
146,RegNG,4,10,BreastCancer,0.9588716053522653,0.9487179517745972,0.03911888896299084
147,RegSeNG,4,10,BreastCancer,0.9608890792621748,1.0,0.03406312850866983
148,NGTSP,4,10,BreastCancer,0.8933944125746698,0.9230769276618958,0.05440504160588904
149,RNGTSP,4,10,BreastCancer,0.8633634712936326,0.8461538553237915,0.05486938665324216
150,RBFNetwork,0,15,BreastCancer,0.9873549836639329,1.0,0.018469608559440145
151,RLVQ,0,15,BreastCancer,0.9092666438521675,0.3499999940395355,0.7394901226378491
152,RegNG,0,15,BreastCancer,0.9241733461839214,0.9750000238418579,0.03899101104175269
153,RegSeNG,0,15,BreastCancer,0.9199528065633634,0.949999988079071,0.037054581454197426
154,NGTSP,0,15,BreastCancer,0.8355252925386502,0.7749999761581421,0.04996029129374916
155,RNGTSP,0,15,BreastCancer,0.6736002043456863,0.625,0.07993384798882598
156,RBFNetwork,1,15,BreastCancer,0.9824019544373531,1.0,0.02129905738306034
157,RLVQ,1,15,BreastCancer,0.9070194062822605,0.44999998807907104,0.6093401821621489
158,RegNG,1,15,BreastCancer,0.9445896272436624,0.9750000238418579,0.03582729559951066
159,RegSeNG,1,15,BreastCancer,0.9445402462142274,0.925000011920929,0.04145396014712119
160,NGTSP,1,15,BreastCancer,0.8550393715664363,0.8500000238418579,0.058050225788479536
161,RNGTSP,1,15,BreastCancer,0.7502314988587427,0.75,0.0817154091552881
162,RBFNetwork,2,15,BreastCancer,0.9901990155611986,1.0,0.016974854605380948
163,RLVQ,2,15,BreastCancer,0.9246370386590604,0.3589743673801422,0.5424708145520946
164,RegNG,2,15,BreastCancer,0.9835227772953389,0.9743589758872986,0.020157710098269402
165,RegSeNG,2,15,BreastCancer,0.5742116996767375,0.9487179517745972,0.10489451835692847
166,NGTSP,2,15,BreastCancer,0.8843501551118081,0.9230769276618958,0.058365445967965376
167,RNGTSP,2,15,BreastCancer,0.7561157803057709,0.6666666865348816,0.07187753756140772
168,RBFNetwork,3,15,BreastCancer,0.972817901658106,0.9487179517745972,0.028455810524945075
169,RLVQ,3,15,BreastCancer,0.8527555612094923,0.3333333432674408,0.8564462603068888
170,RegNG,3,15,BreastCancer,0.9245872340186579,0.9487179517745972,0.0415602062618349
171,RegSeNG,3,15,BreastCancer,0.9584636868021726,0.9743589758872986,0.0328173721404497
172,NGTSP,3,15,BreastCancer,0.36281355036227536,0.7179487347602844,0.14260529459434396
173,RNGTSP,3,15,BreastCancer,0.37765837178777467,0.8205128312110901,0.12125878606547659
174,RBFNetwork,4,15,BreastCancer,0.9857157309600509,1.0,0.019257872877609324
175,RLVQ,4,15,BreastCancer,0.9287793253225499,0.25641027092933655,0.58994672428277
176,RegNG,4,15,BreastCancer,0.9817832242038274,1.0,0.020610719915271785
177,RegSeNG,4,15,BreastCancer,0.958022190068309,0.9487179517745972,0.027627524343934094
